"","ï..Service.Center","County","Initial.Services.Sought.at.First.Visit","Attended.Group.Training.","Total.Counseling.Time..hrs","Business.Status","Impact..Capital.Investments","Impact..Created.New.Jobs","Impact..Revenue.Increase","Impact..Started.Business","Company.s.Total.employees","Company.s.Gross.Revenue...","NAICS.code","Ownership.Gender","Owner.s.Hispanic.Origin","Owner.s.Race","started","CC","Male"
"1","Anne Arundel County","Anne Arundel","Counseling","No",3,"Started with SBDC",0,0,0,"Yes",1,75000,"54","Male-Owned","Hispanic","White/Caucasian",1,0,1
"2","Anne Arundel County","Anne Arundel","Counseling","No",0.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"48","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"3","Baltimore City","Prince Georges","Training","Yes",30.16666669,"Started with SBDC",156000,1,0,"Yes",1,60000,"31","Choose not to respond","Non-Hispanic","Black or African American",1,1,0
"4","Anne Arundel County","Anne Arundel","Counseling","No",1.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"23","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"5","Anne Arundel County","Anne Arundel","Counseling","No",2,"Pre-venture/Nascent",0,0,0,"No",0,0,"71","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"6","Anne Arundel County","Anne Arundel","Counseling","Yes",7,"Pre-venture/Nascent",0,0,0,"No",0,0,"42","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"7","Anne Arundel County","Anne Arundel","Counseling","No",3,"Pre-venture/Nascent",0,0,0,"No",0,0,"51","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"8","Anne Arundel County","Anne Arundel","Counseling","No",8.25,"Started with SBDC",0,7,0,"Yes",7,60000,"33","Male-Owned","Non-Hispanic","White/Caucasian",1,0,1
"9","Anne Arundel County","Anne Arundel","Counseling","Yes",17.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"61","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"10","Anne Arundel County","Anne Arundel","Counseling","No",3.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"11","Anne Arundel County","Anne Arundel","Counseling","Yes",2.75,"Started with SBDC",0,0,0,"Yes",3,25000,"54","Male-Owned","Non-Hispanic","Black or African American",1,0,1
"12","Anne Arundel County","Anne Arundel","Counseling","No",18.5,"Started with SBDC",0,1,0,"Yes",1,60000,"54","Male/Female-Owned","Non-Hispanic","White/Caucasian",1,0,0
"13","Anne Arundel County","Anne Arundel","Counseling","No",1,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male/Female-Owned","Non-Hispanic","Black or African American",0,0,0
"14","Anne Arundel County","Anne Arundel","Counseling","Yes",64.75,"Started with SBDC",325000,7,1e+05,"Yes",7,100000,"32","Male/Female-Owned","Non-Hispanic","White/Caucasian",1,0,0
"15","Anne Arundel County","Anne Arundel","Counseling","No",2,"Pre-venture/Nascent",0,0,0,"No",0,0,"48","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"16","Anne Arundel County","Anne Arundel","Counseling","No",2,"Started with SBDC",275000,2,0,"Yes",2,60000,"54","Woman-Owned","Non-Hispanic","Black or African American",1,0,0
"17","Anne Arundel County","Anne Arundel","Counseling","No",2,"Pre-venture/Nascent",0,0,0,"No",0,0,"52","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"18","Anne Arundel County","Anne Arundel","Counseling","Yes",8.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"19","Anne Arundel County","Anne Arundel","Counseling","Yes",363.45,"Start-up (in bus. < 1 year)",5900,8,39148,"Yes",8,39148,"31","Woman-Owned","Non-Hispanic","White/Caucasian",1,0,0
"20","Anne Arundel County","Anne Arundel","Counseling","No",44.75,"Started with SBDC",25000,1,67501.2,"Yes",1,67501,"54","Woman-Owned","Non-Hispanic","White/Caucasian",1,0,0
"21","Anne Arundel County","Prince Georges","Training","Yes",84,"Pre-venture/Nascent",30000,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","Asian",0,1,1
"22","Anne Arundel County","Anne Arundel","Training","Yes",5.25,"Started with SBDC",0,1,0,"Yes",1,60000,"54","Woman-Owned","Choose not to respond","Black or African American",1,0,0
"23","Anne Arundel County","Anne Arundel","Counseling","No",7,"Pre-venture/Nascent",350000,0,0,"No",0,0,"Undefined","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"24","Anne Arundel County","Anne Arundel","Counseling","Yes",1,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male/Female-Owned","Non-Hispanic","White/Caucasian",0,0,0
"25","Anne Arundel County","Anne Arundel","Counseling","No",1.5,"Started with SBDC",60000,2,0,"Yes",2,60000,"72","Male-Owned","Hispanic","Choose not to respond",1,0,1
"26","Anne Arundel County","Anne Arundel","Counseling","No",31.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"62","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"27","Anne Arundel County","Anne Arundel","Counseling","No",1,"Pre-venture/Nascent",0,0,0,"No",0,0,"44","Male-Owned","Hispanic","White/Caucasian",0,0,1
"28","Anne Arundel County","Baltimore","Counseling","No",0.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Male/Female-Owned","Non-Hispanic","White/Caucasian",0,1,0
"29","Anne Arundel County","Anne Arundel","Training","Yes",0.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Male-Owned","Non-Hispanic","Black or African American",0,0,1
"30","Anne Arundel County","Anne Arundel","Counseling","No",0.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"31","Anne Arundel County","Anne Arundel","Counseling","No",6.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"32","Anne Arundel County","Anne Arundel","Counseling","No",3.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Male/Female-Owned","Non-Hispanic","White/Caucasian",0,0,0
"33","Anne Arundel County","Anne Arundel","Counseling","No",2.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Male-Owned","Non-Hispanic","Asian",0,0,1
"34","Anne Arundel County","Anne Arundel","Counseling","No",9,"Pre-venture/Nascent",0,0,0,"No",0,0,"44","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"35","Anne Arundel County","Anne Arundel","Training","Yes",9,"Started with SBDC",11000,2,25000,"Yes",2,25000,"72","Woman-Owned","Choose not to respond","Black or African American",1,0,0
"36","Anne Arundel County","Anne Arundel","Counseling","No",27.5,"Started with SBDC",60000,2,93000,"Yes",2,93000,"45","Woman-Owned","Hispanic","White/Caucasian",1,0,0
"37","Anne Arundel County","Anne Arundel","Counseling","No",3.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"62","Male/Female-Owned","Non-Hispanic","White/Caucasian",0,0,0
"38","Anne Arundel County","Anne Arundel","Counseling","No",4,"Pre-venture/Nascent",0,0,0,"No",0,0,"33","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"39","Anne Arundel County","Baltimore City","Counseling","No",2.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"33","Male/Female-Owned","Choose not to respond","Choose not to respond",0,0,0
"40","Anne Arundel County","Outside of Maryland","Counseling","No",11,"Pre-venture/Nascent",0,0,0,"No",0,0,"71","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"41","Anne Arundel County","Anne Arundel","Counseling","No",3.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"42","Anne Arundel County","Anne Arundel","Counseling","No",3.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Choose not to respond","Non-Hispanic","White/Caucasian",0,0,0
"43","Anne Arundel County","Anne Arundel","Counseling","No",6,"Pre-venture/Nascent",0,0,0,"No",0,0,"42","Woman-Owned","Non-Hispanic","White/Caucasian",0,0,0
"44","Anne Arundel County","Anne Arundel","Counseling","Yes",54.75,"Pre-venture/Nascent",280000,0,0,"No",0,0,"51","Male/Female-Owned","Non-Hispanic","White/Caucasian",0,0,0
"45","Anne Arundel County","Prince Georges","Counseling","No",12.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"42","Male/Female-Owned","Non-Hispanic","Black or African American",0,1,0
"46","Anne Arundel County","Anne Arundel","Counseling","No",3.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","Asian",0,0,1
"47","Anne Arundel County","Anne Arundel","Counseling","No",3.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"54","Male/Female-Owned","Non-Hispanic","White/Caucasian",0,0,0
"48","Anne Arundel County","Anne Arundel","Counseling","No",29.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male/Female-Owned","Hispanic","White/Caucasian",0,0,0
"49","Anne Arundel County","Anne Arundel","Training","Yes",33.44999999,"Started with SBDC",40750,1,0,"Yes",1,60000,"52","Male/Female-Owned","Choose not to respond","Choose not to respond",1,0,0
"50","Anne Arundel County","Anne Arundel","Counseling","No",12.75,"Started with SBDC",0,1,31500,"Yes",1,31500,"42","Male-Owned","Non-Hispanic","White/Caucasian",1,0,1
"51","Anne Arundel County","Kent","Counseling","No",13.75,"Started with SBDC",50000,0,0,"Yes",1,60000,"45","Male-Owned","Non-Hispanic","White/Caucasian",1,0,1
"52","Anne Arundel County","Anne Arundel","Counseling","Yes",51.75,"Pre-venture/Nascent",1000,0,0,"No",0,0,"23","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"53","Anne Arundel County","Anne Arundel","Counseling","No",4.5,"Pre-venture/Nascent",0,0,0,"No",0,0,"81","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"54","Anne Arundel County","Anne Arundel","Training","Yes",17.25,"Started with SBDC",0,0,0,"Yes",1,60000,"81","Woman-Owned","Non-Hispanic","Black or African American",1,0,0
"55","Anne Arundel County","Harford","Counseling","Yes",11.75,"In Business (> 1 year)",0,0,0,"Yes",1,150000,"72","Male-Owned","Non-Hispanic","Black or African American",1,1,1
"56","Anne Arundel County","Baltimore","Counseling","No",14.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"71","Male/Female-Owned","Non-Hispanic","White/Caucasian",0,1,0
"57","Anne Arundel County","Anne Arundel","Counseling","Yes",17,"Started with SBDC",230000,1,0,"Yes",1,60000,"33","Male-Owned","Non-Hispanic","White/Caucasian",1,0,1
"58","Anne Arundel County","Anne Arundel","Training","Yes",1.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"56","Woman-Owned","Non-Hispanic","Black or African American",0,0,0
"59","Anne Arundel County","Baltimore","Training","Yes",4,"Started with SBDC",0,0,0,"Yes",0,0,"42","Woman-Owned","Non-Hispanic","Native American",1,1,0
"60","Anne Arundel County","Anne Arundel","Counseling","No",1.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"72","Male-Owned","Non-Hispanic","White/Caucasian",0,0,1
"61","Anne Arundel County","Prince Georges","Training","Yes",13,"Started with SBDC",0,1,0,"Yes",1,60000,"81","Male-Owned","Choose not to respond","White/Caucasian",1,1,1
"62","Anne Arundel County","Anne Arundel","Training","Yes",1.75,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Woman-Owned","Non-Hispanic","Black or African American",0,0,0
"63","Anne Arundel County","Anne Arundel","Counseling","No",29.25,"Pre-venture/Nascent",0,0,0,"No",0,0,"Undefined","Woman-Owned","Choose not to respond","Choose not to respond",0,0,0
"64","Anne Arundel County","Anne Arundel","Counseling","Yes",3.75,"Started with SBDC",20000,5,0,"Yes",5,60000,"81","Woman-Owned","Non-Hispanic","White/Caucasian",1,0,0
